track_album_name,instrumentalness,tempo,id,speechiness,track_name,playlist_id,valence,type,playlist_genre,track_album_id,loudness,danceability,track_album_release_date,analysis_url,track_popularity,track_id,track_href,liveness,time_signature,playlist_subgenre,uri,track_artist,playlist_name,key,mode,duration_ms,acousticness,energy
Song For My Father,0.00441,127.359,1CDBaGlisZlOJzvx88lL8A,0.0407,Song For My Father,37i9dQZF1DXbITWG1ZJKYt,0.591,audio_features,jazz,4LEnATSqKeANOJ0mLUAuCE,-8.142,0.742,1999-01-01,https://api.spotify.com/v1/audio-analysis/1CDBaGlisZlOJzvx88lL8A,53,1CDBaGlisZlOJzvx88lL8A,https://api.spotify.com/v1/tracks/1CDBaGlisZlOJzvx88lL8A,0.122,4,classic,spotify:track:1CDBaGlisZlOJzvx88lL8A,Horace Silver,Jazz Classics,5,0,438280,0.794,0.671
Boss Tenor (RVG Remasters / Remastered 2006),0.929,130.436,6rK27cC9hX0e1Chrnxo9Vn,0.0537,My Romance - Remastered 2006,37i9dQZF1DXbITWG1ZJKYt,0.397,audio_features,jazz,04l5TDoVZFNPvExGNdVjOj,-10.778,0.519,2006-03-21,https://api.spotify.com/v1/audio-analysis/6rK27cC9hX0e1Chrnxo9Vn,53,6rK27cC9hX0e1Chrnxo9Vn,https://api.spotify.com/v1/tracks/6rK27cC9hX0e1Chrnxo9Vn,0.124,3,classic,spotify:track:6rK27cC9hX0e1Chrnxo9Vn,Gene Ammons,Jazz Classics,1,1,252947,0.966,0.0422
Body & Soul,0.88,95.063,2xm9ihELo6xwrRKrBbPql9,0.0569,Body and Soul,37i9dQZF1DXbITWG1ZJKYt,0.738,audio_features,jazz,6Ieo4Lrku0sQ63Pd9G8j3L,-16.756,0.659,1996-05-21,https://api.spotify.com/v1/audio-analysis/2xm9ihELo6xwrRKrBbPql9,53,2xm9ihELo6xwrRKrBbPql9,https://api.spotify.com/v1/tracks/2xm9ihELo6xwrRKrBbPql9,0.179,4,classic,spotify:track:2xm9ihELo6xwrRKrBbPql9,Coleman Hawkins,Jazz Classics,10,0,182360,0.976,0.113
Look Out! (Remastered),0.0127,59.385,7ysmJhXFQtiBQlk6EZ6sks,0.0336,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,37i9dQZF1DXbITWG1ZJKYt,0.196,audio_features,jazz,21YbbJrVCRQIxB5W2EKIbr,-11.235,0.505,2007-01-01,https://api.spotify.com/v1/audio-analysis/7ysmJhXFQtiBQlk6EZ6sks,52,7ysmJhXFQtiBQlk6EZ6sks,https://api.spotify.com/v1/tracks/7ysmJhXFQtiBQlk6EZ6sks,0.212,4,classic,spotify:track:7ysmJhXFQtiBQlk6EZ6sks,Stanley Turrentine,Jazz Classics,7,0,295200,0.946,0.159
Tuesday Wonderland,0.629,95.068,72PqmnVj86bfTnkFiQ9Mx9,0.0336,Where We Used to Live,37i9dQZF1DXbITWG1ZJKYt,0.0836,audio_features,jazz,1FXFyWXLIdOVgjR0MaRa9y,-18.395,0.517,2006-09-22,https://api.spotify.com/v1/audio-analysis/72PqmnVj86bfTnkFiQ9Mx9,50,72PqmnVj86bfTnkFiQ9Mx9,https://api.spotify.com/v1/tracks/72PqmnVj86bfTnkFiQ9Mx9,0.108,4,classic,spotify:track:72PqmnVj86bfTnkFiQ9Mx9,Esbjörn Svensson Trio,Jazz Classics,0,1,267173,0.876,0.0917
Approaching Standards,0.709,133.918,1czzmAtPTw287TyMQEfCfg,0.0331,Ruby My Dear,37i9dQZF1DXbITWG1ZJKYt,0.0778,audio_features,jazz,1OGhqJimAFVAtyX7PKbakD,-10.288,0.412,1994-08-16,https://api.spotify.com/v1/audio-analysis/1czzmAtPTw287TyMQEfCfg,49,1czzmAtPTw287TyMQEfCfg,https://api.spotify.com/v1/tracks/1czzmAtPTw287TyMQEfCfg,0.106,4,classic,spotify:track:1czzmAtPTw287TyMQEfCfg,Roy Hargrove,Jazz Classics,8,1,372493,0.9,0.195
Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],0.00111,147.143,1ZXu0ib26kWfQQngREMcU2,0.06,Giant Steps - 2020 Remaster,37i9dQZF1DXbITWG1ZJKYt,0.517,audio_features,jazz,4jTDjHLMFCHWrjuP1qmCf4,-13.046,0.417,2020-09-18,https://api.spotify.com/v1/audio-analysis/1ZXu0ib26kWfQQngREMcU2,49,1ZXu0ib26kWfQQngREMcU2,https://api.spotify.com/v1/tracks/1ZXu0ib26kWfQQngREMcU2,0.185,4,classic,spotify:track:1ZXu0ib26kWfQQngREMcU2,John Coltrane,Jazz Classics,0,0,287844,0.186,0.42
On Time,0.774,63.423,1GZD0TZJHmdQaZsucHBmWT,0.0627,Besame Mucho,37i9dQZF1DXbITWG1ZJKYt,0.321,audio_features,jazz,5LiPzuR79DTTmyROUm2luC,-17.279,0.517,2001-04-02,https://api.spotify.com/v1/audio-analysis/1GZD0TZJHmdQaZsucHBmWT,49,1GZD0TZJHmdQaZsucHBmWT,https://api.spotify.com/v1/tracks/1GZD0TZJHmdQaZsucHBmWT,0.979,4,classic,spotify:track:1GZD0TZJHmdQaZsucHBmWT,Dave Brubeck,Jazz Classics,10,0,354573,0.866,0.273
Gilles Peterson - Magic Peterson Sunshine,0.901,126.222,2qswPLZD9CbUoSidGNyxwm,0.0321,It Ain't Necessarily So,37i9dQZF1DXbITWG1ZJKYt,0.178,audio_features,jazz,6VflpBTIdO5wvutZII2Grw,-17.115,0.477,2016-04-15,https://api.spotify.com/v1/audio-analysis/2qswPLZD9CbUoSidGNyxwm,49,2qswPLZD9CbUoSidGNyxwm,https://api.spotify.com/v1/tracks/2qswPLZD9CbUoSidGNyxwm,0.0974,3,classic,spotify:track:2qswPLZD9CbUoSidGNyxwm,Mary Lou Williams,Jazz Classics,4,0,280481,0.947,0.237
Jazz Profile: Cannonball Adderley,0.0186,84.443,6NF8MZ2trxckVBr82pyyPt,0.0346,"Mercy, Mercy, Mercy",37i9dQZF1DXbITWG1ZJKYt,0.348,audio_features,jazz,5JpHin9lKOyizuJhKxaHWp,-10.231,0.544,1997-01-01,https://api.spotify.com/v1/audio-analysis/6NF8MZ2trxckVBr82pyyPt,49,6NF8MZ2trxckVBr82pyyPt,https://api.spotify.com/v1/tracks/6NF8MZ2trxckVBr82pyyPt,0.964,4,classic,spotify:track:6NF8MZ2trxckVBr82pyyPt,Cannonball Adderley,Jazz Classics,10,1,313200,0.719,0.425
