loudness,track_album_name,uri,analysis_url,id,time_signature,mode,track_name,speechiness,playlist_id,danceability,playlist_genre,track_id,track_album_release_date,duration_ms,acousticness,track_artist,energy,tempo,instrumentalness,playlist_subgenre,type,track_href,key,track_album_id,playlist_name,liveness,valence,track_popularity
-10.778,Boss Tenor (RVG Remasters / Remastered 2006),spotify:track:6rK27cC9hX0e1Chrnxo9Vn,https://api.spotify.com/v1/audio-analysis/6rK27cC9hX0e1Chrnxo9Vn,6rK27cC9hX0e1Chrnxo9Vn,3,1,My Romance - Remastered 2006,0.0537,37i9dQZF1DXbITWG1ZJKYt,0.519,jazz,6rK27cC9hX0e1Chrnxo9Vn,2006-03-21,252947,0.966,Gene Ammons,0.0422,130.436,0.929,classic,audio_features,https://api.spotify.com/v1/tracks/6rK27cC9hX0e1Chrnxo9Vn,1,04l5TDoVZFNPvExGNdVjOj,Jazz Classics,0.124,0.397,53
-16.756,Body & Soul,spotify:track:2xm9ihELo6xwrRKrBbPql9,https://api.spotify.com/v1/audio-analysis/2xm9ihELo6xwrRKrBbPql9,2xm9ihELo6xwrRKrBbPql9,4,0,Body and Soul,0.0569,37i9dQZF1DXbITWG1ZJKYt,0.659,jazz,2xm9ihELo6xwrRKrBbPql9,1996-05-21,182360,0.976,Coleman Hawkins,0.113,95.063,0.88,classic,audio_features,https://api.spotify.com/v1/tracks/2xm9ihELo6xwrRKrBbPql9,10,6Ieo4Lrku0sQ63Pd9G8j3L,Jazz Classics,0.179,0.738,53
-11.235,Look Out! (Remastered),spotify:track:7ysmJhXFQtiBQlk6EZ6sks,https://api.spotify.com/v1/audio-analysis/7ysmJhXFQtiBQlk6EZ6sks,7ysmJhXFQtiBQlk6EZ6sks,4,0,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,0.0336,37i9dQZF1DXbITWG1ZJKYt,0.505,jazz,7ysmJhXFQtiBQlk6EZ6sks,2007-01-01,295200,0.946,Stanley Turrentine,0.159,59.385,0.0127,classic,audio_features,https://api.spotify.com/v1/tracks/7ysmJhXFQtiBQlk6EZ6sks,7,21YbbJrVCRQIxB5W2EKIbr,Jazz Classics,0.212,0.196,52
-18.395,Tuesday Wonderland,spotify:track:72PqmnVj86bfTnkFiQ9Mx9,https://api.spotify.com/v1/audio-analysis/72PqmnVj86bfTnkFiQ9Mx9,72PqmnVj86bfTnkFiQ9Mx9,4,1,Where We Used to Live,0.0336,37i9dQZF1DXbITWG1ZJKYt,0.517,jazz,72PqmnVj86bfTnkFiQ9Mx9,2006-09-22,267173,0.876,Esbjörn Svensson Trio,0.0917,95.068,0.629,classic,audio_features,https://api.spotify.com/v1/tracks/72PqmnVj86bfTnkFiQ9Mx9,0,1FXFyWXLIdOVgjR0MaRa9y,Jazz Classics,0.108,0.0836,50
-10.288,Approaching Standards,spotify:track:1czzmAtPTw287TyMQEfCfg,https://api.spotify.com/v1/audio-analysis/1czzmAtPTw287TyMQEfCfg,1czzmAtPTw287TyMQEfCfg,4,1,Ruby My Dear,0.0331,37i9dQZF1DXbITWG1ZJKYt,0.412,jazz,1czzmAtPTw287TyMQEfCfg,1994-08-16,372493,0.9,Roy Hargrove,0.195,133.918,0.709,classic,audio_features,https://api.spotify.com/v1/tracks/1czzmAtPTw287TyMQEfCfg,8,1OGhqJimAFVAtyX7PKbakD,Jazz Classics,0.106,0.0778,49
-13.046,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],spotify:track:1ZXu0ib26kWfQQngREMcU2,https://api.spotify.com/v1/audio-analysis/1ZXu0ib26kWfQQngREMcU2,1ZXu0ib26kWfQQngREMcU2,4,0,Giant Steps - 2020 Remaster,0.06,37i9dQZF1DXbITWG1ZJKYt,0.417,jazz,1ZXu0ib26kWfQQngREMcU2,2020-09-18,287844,0.186,John Coltrane,0.42,147.143,0.00111,classic,audio_features,https://api.spotify.com/v1/tracks/1ZXu0ib26kWfQQngREMcU2,0,4jTDjHLMFCHWrjuP1qmCf4,Jazz Classics,0.185,0.517,49
-17.279,On Time,spotify:track:1GZD0TZJHmdQaZsucHBmWT,https://api.spotify.com/v1/audio-analysis/1GZD0TZJHmdQaZsucHBmWT,1GZD0TZJHmdQaZsucHBmWT,4,0,Besame Mucho,0.0627,37i9dQZF1DXbITWG1ZJKYt,0.517,jazz,1GZD0TZJHmdQaZsucHBmWT,2001-04-02,354573,0.866,Dave Brubeck,0.273,63.423,0.774,classic,audio_features,https://api.spotify.com/v1/tracks/1GZD0TZJHmdQaZsucHBmWT,10,5LiPzuR79DTTmyROUm2luC,Jazz Classics,0.979,0.321,49
-17.115,Gilles Peterson - Magic Peterson Sunshine,spotify:track:2qswPLZD9CbUoSidGNyxwm,https://api.spotify.com/v1/audio-analysis/2qswPLZD9CbUoSidGNyxwm,2qswPLZD9CbUoSidGNyxwm,3,0,It Ain't Necessarily So,0.0321,37i9dQZF1DXbITWG1ZJKYt,0.477,jazz,2qswPLZD9CbUoSidGNyxwm,2016-04-15,280481,0.947,Mary Lou Williams,0.237,126.222,0.901,classic,audio_features,https://api.spotify.com/v1/tracks/2qswPLZD9CbUoSidGNyxwm,4,6VflpBTIdO5wvutZII2Grw,Jazz Classics,0.0974,0.178,49
-10.231,Jazz Profile: Cannonball Adderley,spotify:track:6NF8MZ2trxckVBr82pyyPt,https://api.spotify.com/v1/audio-analysis/6NF8MZ2trxckVBr82pyyPt,6NF8MZ2trxckVBr82pyyPt,4,1,"Mercy, Mercy, Mercy",0.0346,37i9dQZF1DXbITWG1ZJKYt,0.544,jazz,6NF8MZ2trxckVBr82pyyPt,1997-01-01,313200,0.719,Cannonball Adderley,0.425,84.443,0.0186,classic,audio_features,https://api.spotify.com/v1/tracks/6NF8MZ2trxckVBr82pyyPt,10,5JpHin9lKOyizuJhKxaHWp,Jazz Classics,0.964,0.348,49
-25.427,Piano Book (Deluxe Edition),spotify:track:4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,4SFBV7SRNG2e2kyL1F6kjU,4,1,"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",0.0446,37i9dQZF1DWWEJlAGA9gs0,0.234,classical,4SFBV7SRNG2e2kyL1F6kjU,2019-03-29,139307,0.989,"Johann Sebastian Bach, Lang Lang",0.126,133.998,0.896,essential,audio_features,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,0,1XORY4rQNhqkZxTze6Px90,Classical Essentials,0.102,0.216,60
