key,track_artist,energy,track_id,liveness,speechiness,track_popularity,playlist_subgenre,time_signature,track_href,valence,id,track_album_release_date,uri,danceability,tempo,playlist_name,track_album_name,duration_ms,analysis_url,instrumentalness,type,track_album_id,playlist_genre,track_name,playlist_id,acousticness,loudness,mode
10,Coleman Hawkins,0.113,2xm9ihELo6xwrRKrBbPql9,0.179,0.0569,53,classic,4,https://api.spotify.com/v1/tracks/2xm9ihELo6xwrRKrBbPql9,0.738,2xm9ihELo6xwrRKrBbPql9,1996-05-21,spotify:track:2xm9ihELo6xwrRKrBbPql9,0.659,95.063,Jazz Classics,Body & Soul,182360,https://api.spotify.com/v1/audio-analysis/2xm9ihELo6xwrRKrBbPql9,0.88,audio_features,6Ieo4Lrku0sQ63Pd9G8j3L,jazz,Body and Soul,37i9dQZF1DXbITWG1ZJKYt,0.976,-16.756,0
7,Stanley Turrentine,0.159,7ysmJhXFQtiBQlk6EZ6sks,0.212,0.0336,52,classic,4,https://api.spotify.com/v1/tracks/7ysmJhXFQtiBQlk6EZ6sks,0.196,7ysmJhXFQtiBQlk6EZ6sks,2007-01-01,spotify:track:7ysmJhXFQtiBQlk6EZ6sks,0.505,59.385,Jazz Classics,Look Out! (Remastered),295200,https://api.spotify.com/v1/audio-analysis/7ysmJhXFQtiBQlk6EZ6sks,0.0127,audio_features,21YbbJrVCRQIxB5W2EKIbr,jazz,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,37i9dQZF1DXbITWG1ZJKYt,0.946,-11.235,0
0,"Johann Sebastian Bach, Lang Lang",0.126,4SFBV7SRNG2e2kyL1F6kjU,0.102,0.0446,60,essential,4,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,0.216,4SFBV7SRNG2e2kyL1F6kjU,2019-03-29,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,0.234,133.998,Classical Essentials,Piano Book (Deluxe Edition),139307,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,0.896,audio_features,1XORY4rQNhqkZxTze6Px90,classical,"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",37i9dQZF1DWWEJlAGA9gs0,0.989,-25.427,1
9,"Ludwig van Beethoven, Igor Levit",0.0306,3zLTPuucd3e6TxZnu2dlVS,0.102,0.0446,63,essential,3,https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS,0.118,3zLTPuucd3e6TxZnu2dlVS,2015,spotify:track:3zLTPuucd3e6TxZnu2dlVS,0.289,125.61,Classical Essentials,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",212067,https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS,0.911,audio_features,230jpjk9w7MGupNMMvXoaN,classical,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",37i9dQZF1DWWEJlAGA9gs0,0.987,-30.79,0
9,"Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott",0.0161,0jOnZhF75V68VsBObWx2XO,0.0805,0.0442,65,essential,3,https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO,0.0573,0jOnZhF75V68VsBObWx2XO,2015-09-18,spotify:track:0jOnZhF75V68VsBObWx2XO,0.169,128.143,Classical Essentials,Songs from the Arc of Life,174267,https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO,0.86,audio_features,2y85NsbsBnGTXcXgHpj3PD,classical,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",37i9dQZF1DWWEJlAGA9gs0,0.986,-31.034,0
2,"George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",0.0336,1upQiytDIEZfl9ItruoXuC,0.0954,0.0606,63,essential,3,https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC,0.0516,1upQiytDIEZfl9ItruoXuC,2002,spotify:track:1upQiytDIEZfl9ItruoXuC,0.0939,67.359,Classical Essentials,Handel Sarabande,207267,https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC,0.83,audio_features,657D9POYWMrDMK9MWNxPHL,classical,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",37i9dQZF1DWWEJlAGA9gs0,0.927,-24.041,0
1,"Claude Debussy, Alice Sara Ott",0.00501,1cmigB9I6IRpFqjIbzvSQB,0.0618,0.0455,65,essential,5,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,0.0383,1cmigB9I6IRpFqjIbzvSQB,2018-07-27,spotify:track:1cmigB9I6IRpFqjIbzvSQB,0.32,68.947,Classical Essentials,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",294960,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,0.919,audio_features,4Ll3RGpn0eVY6MMKPTP99C,classical,"Suite bergamasque, L. 75: III. Clair de lune",37i9dQZF1DWWEJlAGA9gs0,0.993,-33.366,1
5,"Erik Satie, Alena Cherny",0.00579,5fdp9rXfEixCGLM1Og4EN1,0.0882,0.0576,62,essential,4,https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1,0.0369,5fdp9rXfEixCGLM1Og4EN1,2013,spotify:track:5fdp9rXfEixCGLM1Og4EN1,0.376,71.827,Classical Essentials,Gnossienne No. 1,296480,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1,0.944,audio_features,4ZWDD7tNRRMB2eO4B5LsJh,classical,Gnossienne No. 1,37i9dQZF1DWWEJlAGA9gs0,0.996,-31.615,0
2,"Jacques Offenbach, Arthur Fiedler, Boston Pops Orchestra",0.256,1n9741DApqn5gvuxhgerCt,0.384,0.0341,51,essential,4,https://api.spotify.com/v1/tracks/1n9741DApqn5gvuxhgerCt,0.134,1n9741DApqn5gvuxhgerCt,2014-06-13,spotify:track:1n9741DApqn5gvuxhgerCt,0.168,90.072,Classical Essentials,"I don't like classical music, but I really like this!",215240,https://api.spotify.com/v1/audio-analysis/1n9741DApqn5gvuxhgerCt,0.175,audio_features,72eREPpDWnlR5o2hUExugS,classical,Tales of Hoffmann: Barcarolle,37i9dQZF1DWWEJlAGA9gs0,0.932,-15.549,1
5,"Gustav Mahler, Daniel Barenboim, Chicago Symphony Orchestra",0.0523,0cqcRqZgkNHanWQ8slYA0v,0.0806,0.0471,55,essential,4,https://api.spotify.com/v1/tracks/0cqcRqZgkNHanWQ8slYA0v,0.0327,0cqcRqZgkNHanWQ8slYA0v,1998-08-14,spotify:track:0cqcRqZgkNHanWQ8slYA0v,0.0783,82.015,Classical Essentials,Mahler: Symphony No. 5,583293,https://api.spotify.com/v1/audio-analysis/0cqcRqZgkNHanWQ8slYA0v,0.945,audio_features,2xhhbZySK489esUAtrs65j,classical,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,37i9dQZF1DWWEJlAGA9gs0,0.896,-23.247,1
