track_name,valence,playlist_name,energy,id,speechiness,tempo,playlist_genre,track_id,track_album_release_date,mode,danceability,instrumentalness,time_signature,loudness,track_album_id,track_popularity,uri,duration_ms,track_href,track_artist,key,playlist_subgenre,acousticness,liveness,analysis_url,type,track_album_name,playlist_id
Boot Scootin' Boogie,0.862,Classic Country,0.817,0KMzyApR43L4JH9ZMHS1Km,0.0435,130.448,country,0KMzyApR43L4JH9ZMHS1Km,2012-04-17,0,0.656,0,4,-4.296,2X3fLHcJN2Quyzaf4Hm3hz,37,spotify:track:0KMzyApR43L4JH9ZMHS1Km,198227,https://api.spotify.com/v1/tracks/0KMzyApR43L4JH9ZMHS1Km,Brooks & Dunn,11,classic,0.22,0.304,https://api.spotify.com/v1/audio-analysis/0KMzyApR43L4JH9ZMHS1Km,audio_features,The Essential Brooks & Dunn,5AgNIKN8i20irzvQ7CTO68
I Love It (feat. Charli XCX),0.824,EDM Hits,0.906,2U8NXPTXZWG2O0ye2sYRiH,0.0284,125.916,electronic,2U8NXPTXZWG2O0ye2sYRiH,2013-08-27,1,0.711,1.64e-05,4,-2.671,3qpAHoOLWeXRNTaGzeYf13,71,spotify:track:2U8NXPTXZWG2O0ye2sYRiH,157153,https://api.spotify.com/v1/tracks/2U8NXPTXZWG2O0ye2sYRiH,"Icona Pop, Charli xcx",8,modern,0.00952,0.153,https://api.spotify.com/v1/audio-analysis/2U8NXPTXZWG2O0ye2sYRiH,audio_features,THIS IS... ICONA POP,37i9dQZF1DX3Kdv0IChEm9
All Alone,0.109,Jazz Classics,0.205,6TAW00MAPvS59yEoIgtOEI,0.0577,128.315,jazz,6TAW00MAPvS59yEoIgtOEI,1966-01-01,0,0.492,0.893,4,-8.488,0GpkwiJKo7ogyjHGML8iay,45,spotify:track:6TAW00MAPvS59yEoIgtOEI,310055,https://api.spotify.com/v1/tracks/6TAW00MAPvS59yEoIgtOEI,Mal Waldron,9,classic,0.983,0.122,https://api.spotify.com/v1/audio-analysis/6TAW00MAPvS59yEoIgtOEI,audio_features,All Alone,37i9dQZF1DXbITWG1ZJKYt
Boom Draw,0.935,Reggae Classics,0.745,5NYWAlsnlOKNUlmKoDMENy,0.186,142.001,reggae,5NYWAlsnlOKNUlmKoDMENy,2009-01-01,0,0.917,2.39e-05,4,-4.424,6ALyNLesy615CzZRT0W5lR,51,spotify:track:5NYWAlsnlOKNUlmKoDMENy,339267,https://api.spotify.com/v1/tracks/5NYWAlsnlOKNUlmKoDMENy,Julian Marley,7,classic,0.258,0.382,https://api.spotify.com/v1/audio-analysis/5NYWAlsnlOKNUlmKoDMENy,audio_features,Awake,71R43lBYQZ6JQXH6LmRo1I
palmtreedays_1644.wav,0.332,Feel Good Indie Rock,0.824,0kB6xwKamm2Fogar9frsAy,0.0777,101.93,rock,0kB6xwKamm2Fogar9frsAy,2023-07-07,0,0.623,2.65e-05,4,-6.128,2T0C483fPDytj1MQWkFa3T,39,spotify:track:0kB6xwKamm2Fogar9frsAy,248093,https://api.spotify.com/v1/tracks/0kB6xwKamm2Fogar9frsAy,hard life,5,feel-good,0.163,0.143,https://api.spotify.com/v1/audio-analysis/0kB6xwKamm2Fogar9frsAy,audio_features,palmtreedays_1644.wav,37i9dQZF1DX2sUQwD7tbmL
Bucket List,0.746,Arab X,0.85,7fnH0BHcOanXLbaPOFW5AA,0.0992,98.066,arabic,7fnH0BHcOanXLbaPOFW5AA,2024-04-12,1,0.731,0.0295,4,-3.817,6xr2tWr8pg5ndECtOD66lp,47,spotify:track:7fnH0BHcOanXLbaPOFW5AA,161633,https://api.spotify.com/v1/tracks/7fnH0BHcOanXLbaPOFW5AA,Young Jonn,2,modern,0.497,0.0878,https://api.spotify.com/v1/audio-analysis/7fnH0BHcOanXLbaPOFW5AA,audio_features,Jiggy Forever,3gZgGRvDn9tTUy8n7699pD
青のすみか,0.639,Anime Hits,0.898,12usPU2WnqgCHAW1EK2dfd,0.169,151.99,j-pop,12usPU2WnqgCHAW1EK2dfd,2023-07-07,1,0.479,0,4,-4.809,4QjNVlIw8Rx6jItSZtn2VS,71,spotify:track:12usPU2WnqgCHAW1EK2dfd,196467,https://api.spotify.com/v1/tracks/12usPU2WnqgCHAW1EK2dfd,Tatsuya Kitani,1,anime,0.0134,0.297,https://api.spotify.com/v1/audio-analysis/12usPU2WnqgCHAW1EK2dfd,audio_features,青のすみか,37i9dQZF1DX3f3gm9VK7fL
Under and Over It,0.094,Metal Essentials,0.996,3CBoWhq9cd7WGQZ9EDQVnn,0.179,75.978,metal,3CBoWhq9cd7WGQZ9EDQVnn,2011-10-11,0,0.468,0,4,-3.027,18bHWmCOOKsAQSHdfFQ0WI,38,spotify:track:3CBoWhq9cd7WGQZ9EDQVnn,218133,https://api.spotify.com/v1/tracks/3CBoWhq9cd7WGQZ9EDQVnn,Five Finger Death Punch,11,classic,1.41e-05,0.26,https://api.spotify.com/v1/audio-analysis/3CBoWhq9cd7WGQZ9EDQVnn,audio_features,American Capitalist (Standard),37i9dQZF1DWWOaP4H0w5b0
Type Shit,0.112,Arab X,0.552,28drn6tQo95MRvO0jQEo5C,0.129,144.941,arabic,28drn6tQo95MRvO0jQEo5C,2024-03-22,1,0.64,0,4,-5.679,4iqbFIdGOTzXeDtt9owjQn,84,spotify:track:28drn6tQo95MRvO0jQEo5C,228267,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,"Future, Metro Boomin, Travis Scott, Playboi Carti",2,modern,0.0215,0.119,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,audio_features,WE DON'T TRUST YOU,3gZgGRvDn9tTUy8n7699pD
Give It Away,0.776,Rock Classics,0.936,0uppYCG86ajpV2hSR3dJJ0,0.0476,91.577,rock,0uppYCG86ajpV2hSR3dJJ0,1991-09-24,1,0.666,0.086,4,-9.919,30Perjew8HyGkdSmqguYyg,72,spotify:track:0uppYCG86ajpV2hSR3dJJ0,282907,https://api.spotify.com/v1/tracks/0uppYCG86ajpV2hSR3dJJ0,Red Hot Chili Peppers,7,classic,0.00244,0.153,https://api.spotify.com/v1/audio-analysis/0uppYCG86ajpV2hSR3dJJ0,audio_features,Blood Sugar Sex Magik (Deluxe Edition),37i9dQZF1DWXRqgorJj26U
