id,name,artist,popularity,genre,subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,86,gaming,modern,0.722,0.709,9,-4.95,1,0.0273,0.0633,0,0.0804,0.604,81.012,audio_features,spotify:track:2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,171292,4
2J6OF7CkpdQGSfm1wdclqn,Clouded,Brent Faiyaz,78,r&b,modern,0.583,0.344,2,-8.765,1,0.0559,0.774,0,0.143,0.581,65.203,audio_features,spotify:track:2J6OF7CkpdQGSfm1wdclqn,https://api.spotify.com/v1/tracks/2J6OF7CkpdQGSfm1wdclqn,https://api.spotify.com/v1/audio-analysis/2J6OF7CkpdQGSfm1wdclqn,110129,3
6iaSML1PIYq936g62BDtBq,Robbery,Juice WRLD,78,arabic,modern,0.623,0.692,2,-5.122,1,0.0504,0.328,0,0.153,0.566,79.899,audio_features,spotify:track:6iaSML1PIYq936g62BDtBq,https://api.spotify.com/v1/tracks/6iaSML1PIYq936g62BDtBq,https://api.spotify.com/v1/audio-analysis/6iaSML1PIYq936g62BDtBq,240051,4
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,78,k-pop,modern,0.803,0.895,1,-2.888,1,0.0623,0.0816,5.67e-06,0.154,0.757,124.994,audio_features,spotify:track:38tXZcL1gZRfbqfOG0VMTH,https://api.spotify.com/v1/tracks/38tXZcL1gZRfbqfOG0VMTH,https://api.spotify.com/v1/audio-analysis/38tXZcL1gZRfbqfOG0VMTH,219027,4
2HBBM75Xv3o2Mqdyh1NcM0,Heavy Is the Crown,Linkin Park,77,pop,global,0.571,0.928,4,-3.725,0,0.0453,0.00932,0,0.297,0.488,127.939,audio_features,spotify:track:2HBBM75Xv3o2Mqdyh1NcM0,https://api.spotify.com/v1/tracks/2HBBM75Xv3o2Mqdyh1NcM0,https://api.spotify.com/v1/audio-analysis/2HBBM75Xv3o2Mqdyh1NcM0,167012,4
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Hozier,77,pop,mainstream,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,spotify:track:4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,251424,4
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",81,gaming,modern,0.882,0.764,11,-5.241,1,0.204,0.359,0,0.119,0.886,140.113,audio_features,spotify:track:7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/audio-analysis/7iabz12vAuVQYyekFIWJxD,140733,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,89,pop,global,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,92,pop,global,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,audio_features,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU,170888,4
3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,Creeds,77,gaming,modern,0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,audio_features,spotify:track:3AjSfp5FDvwtMU9XBsbS8j,https://api.spotify.com/v1/tracks/3AjSfp5FDvwtMU9XBsbS8j,https://api.spotify.com/v1/audio-analysis/3AjSfp5FDvwtMU9XBsbS8j,139300,4
